date,location,indicator,min,median,mean,sd,max
2019-10-09,Mercy James,pm2.5,2.8,4.2,5.389010989010989,2.6146453463464967,11.45
2019-10-09,Ward 6B,pm10,6.7,15.05,16.453149606299213,5.82023778778696,43.4
2019-10-09,Ward 6B,pm2.5,3.95,5.625,5.7062992125984255,1.0465073121515824,9.9
2019-10-09,uMoyo,pm10,5.35,10.2,11.372108843537415,4.211583542241258,24.35
2019-10-09,uMoyo,pm2.5,2.8,3.9,4.291156462585034,1.4430003545727181,9.9
2019-10-10,Administration,pm10,30.55,45.9,46.302880658436216,8.693297499774355,77.5
2019-10-10,Administration,pm2.5,9.3,13.3,17.433539094650207,7.032639123606925,29.2
2019-10-10,Guardian Shelter,pm10,16.8,54.1,68.55950704225351,42.96746938321863,263.95
2019-10-10,Guardian Shelter,pm2.5,0,35.35,43.21866197183098,41.82120981546927,230
2019-10-10,Lighthouse Clinic,pm10,12.8,50.425,79.86214622641509,80.34891861922476,524.7
2019-10-10,Lighthouse Clinic,pm2.5,6.9,23.174999999999997,30.83561320754717,27.529991478908258,194.15
2019-10-10,Lions Sight,pm10,11.7,26.85,26.42736220472441,8.17742054981437,48.1
2019-10-10,Lions Sight,pm2.5,5.75,7.7,8.206692913385826,1.8003991894281264,19.6
2019-10-10,Malaria,pm10,17.5,31.2,31.1150826446281,7.815796178902951,54.35
2019-10-10,Malaria,pm2.5,5.8,9.2,12.2650826446281,6.727244553882914,30.9
2019-10-10,Mercy James,pm10,6.05,16.575000000000003,123.35846456692913,172.90335741431687,772.5
2019-10-10,Mercy James,pm2.5,2.9,6.525,49.144094488188976,73.10576428238197,375.2
2019-10-10,Ward 6B,pm10,6.5,14.875,15.88422131147541,5.449420157189672,48.1
2019-10-10,Ward 6B,pm2.5,4,6.425000000000001,8.00122950819672,3.5582510795983935,26.75
2019-10-10,uMoyo,pm10,6.05,15.85,67.96497975708502,105.61143701490501,557.95
